db9e9bd3-d63c-4a18-a687-ddd2189e1706 | df77fe3e-5559-4c6f-ba86-9c3c673edd08 | Milk | Dairy | 2 | L | 2 | 2025-11-28
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | e11f3463-55f1-49bd-8f63-0fca57404650 | Apples | Fruit | 10 | pcs | 4 | 2025-12-10
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 5dc6e5c6-3478-4f6f-876c-348eff6533e3 | Oranges | Fruit | 3 | pcs | 3 | 2025-11-30
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 22fc9c96-136c-4c35-a63d-d8accd219c97 | Olive Oil | Condiments | 2 | L | 1 | -
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 464c987b-e53a-4c9d-8d77-e979641f33ae | Salt | Condiments | 5 | pcs | 1 | -
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 93b56c85-5da9-436a-b867-8992a9717efb | Pepper | Condiments | 1 | pcs | 1 | -
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | b4277f72-879f-4369-baad-c5c0cf0b7b24 | Coffee | Beverages | 4 | pcs | 2 | -
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 0a7db259-6ed7-4e48-8aae-968dedbb9fd9 | Tea | Beverages | 2 | pcs | 1 | -
3f3ac712-03c0-4451-aa6f-1606be0bbebe | ef49b660-3c62-4859-9f66-7ea8bd33f319 | Oatmeal | Grains | 2 | kg | 2 | 2025-11-28
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 04ee2a00-910f-424a-933c-71d1d0de386 | Almonds | Nuts | 12 | pcs | 6 | 2025-12-15
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 727a83f2-bde0-41cb-9859-8dcd6b9eb602 | Quinoa | Grains | 5 | kg | 2 | -
3f3ac712-03c0-4451-aa6f-1606be0bbebe | e273efc0-d41b-4e8d-aba4-905c73ff6a96 | Lentils | Legumes | 1 | kg | 3 | 2026-01-10
3f3ac712-03c0-4451-aa6f-1606be0bbebe | d8fd403c-3cc6-4345-acfe-8681fd02eee5 | Salmon | Meat | 0 | kg | 2 | 2025-11-26
3f3ac712-03c0-4451-aa6f-1606be0bbebe | e4f06b0c-ce81-416b-a6f2-51634092caf7 | Chickpeas | Canned | 8 | pcs | 3 | -
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 6d8bd64e-2f6d-4661-acf7-948cc48afa63 | Tomato Paste | Condiments | 1 | jar | 2 | 2025-12-05
3f3ac712-03c0-4451-aa6f-1606be0bbebe | be922ac1-4d40-41b7-b4a8-03086468264f | Feta Cheese | Dairy | 0 | kg | 1 | 2025-11-29
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 2f68acd6-fb33-4595-b47f-05561713d16d | Baguette | Bakery | 3 | pcs | 2 | 2025-11-25
3f3ac712-03c0-4451-aa6f-1606be0bbebe | f33ddd4d-8227-46e3-abe9-3ac2dc8218eb | Whole Wheat Flour | Baking | 4 | kg | 1 | -
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 19748e69-47a4-41d7-8ea4-94faab046365 | Honey | Condiments | 6 | kg | 2 | -
3f3ac712-03c0-4451-aa6f-1606be0bbebe | ad6199b5-ab9b-486d-9fb8-1290b545f7e3 | Margarine | Dairy | 2 | kg | 1 | 2025-12-02
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 026a9220-3b8d-4e32-9b79-44b25379ca94 | Greek Yogurt | Dairy | 5 | pcs | 2 | 2025-12-01
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 73609400-3123-404e-bfe0-2ffa2c751056 | Bananas | Fruit | 10 | pcs | 4 | 2025-12-10
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 225d681b-c67d-4408-b7d1-3cf8554ef313 | Blueberries | Fruit | 3 | pcs | 3 | 2025-11-30
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 77a3b62f-731a-44f4-b9f2-36131e20c798 | Sunflower Oil | Condiments | 2 | L | 1 | -
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 3f227083-ec53-42e4-9305-026571cf0b47 | Soy Sauce | Condiments | 5 | pcs | 1 | -
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 7a4585e1-9f61-40fb-9869-827d3e30021f | Cinnamon | Spices | 1 | pcs | 1 | -
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 2bbe981b-0ab7-4a22-b0bd-aef70d30725f | Hot Chocolate | Beverages | 4 | pcs | 2 | -
3f3ac712-03c0-4451-aa6f-1606be0bbebe | 90bfebed-7a0d-418b-af8a-575cecf4f7d0 | Green Tea | Beverages | 2 | pcs | 1 | -
